"player_id","team","player","position","pos_purity","minutes","passes_p90","passes_completed_p90","long_passes_p90","key_passes_p90","assists_p90","carries_p90","shots_p90","goals_p90","xg_p90","dribbles_p90","dribbles_completed_p90","pressures_p90","ball_recoveries_p90","interceptions_p90","clearances_p90","blocks_p90","duels_p90","tackles_p90","fouls_p90","dispossessed_p90","miscontrols_p90","ball_receipts_p90","pass_completion_pct","dribble_success_pct","avg_pass_length","mean_x","mean_y","sd_x","sd_y","f3_share","d3_share","position_group","purity6"
31572,"Carpi","Luca Marrone","Center Defensive Midfield",0.597,742.8,40.349,31.989,9.088,0.969,0,29.929,0.606,0.121,0.036,1.091,1.091,19.387,4.968,0.606,1.939,1.333,2.423,1.333,1.818,0.848,0.969,30.656,0.793,1,22.24,55.34,41.71,22.61,18.56,0.133,0.264,"DM_CM",1
31572,"Hellas Verona","Luca Marrone","Left Defensive Midfield",0.674,900.7,51.158,39.168,12.989,1.299,0.3,32.474,0.799,0,0.043,1.199,0.699,22.981,6.695,0.699,1.099,1.099,3.197,2.198,1.898,0.899,0.4,36.87,0.766,0.583,22.51,59.08,36.7,23.74,19.95,0.186,0.219,"DM_CM",1
3160,"Granada","Rene Krhin","Right Defensive Midfield",0.546,1506.8,32.075,24.549,4.301,0.239,0,19.592,0.478,0,0.031,0.776,0.657,16.306,4.062,2.27,3.285,1.732,4.121,2.031,1.613,0.538,0.299,20.786,0.765,0.846,18.69,50.27,41.48,20.21,18.58,0.059,0.291,"DM_CM",1
3161,"Troyes","Chaouki Ben Saada","Center Attacking Midfield",0.427,852.9,55.61,40.943,12.03,1.688,0.106,49.49,2.533,0.106,0.195,3.588,2.321,22.898,6.437,0.317,0.528,2.427,2.533,1.688,1.055,1.794,2.427,59.515,0.736,0.647,21.02,68.45,37.18,24.6,23.35,0.339,0.131,"AM_W",0.749
3162,"Lyon","Gnaly Maxwell Cornet","Left Wing",0.523,1649,29.636,20.739,2.565,1.255,0.055,31.709,1.637,0.437,0.285,2.401,0.928,15.445,3.165,0.491,0.382,1.255,4.585,1.583,1.474,2.074,2.62,51.084,0.7,0.386,15.13,77.9,33.41,24.77,26.75,0.517,0.085,"AM_W",0.827
31625,"Troyes","Johan Martial","Right Center Back",0.578,591.2,35.165,26.792,7.155,0.152,0,24.357,0.152,0,0.01,0.761,0.457,10.504,4.567,1.979,6.241,2.436,5.024,2.892,0.913,0.152,0,22.225,0.762,0.6,22.02,33.09,41.88,18.4,17.8,0.016,0.685,"CB",1
3166,"Paris Saint-Germain","Marco Verratti","Right Center Midfield",0.934,1069.7,121.408,112.405,13.546,1.346,0.252,105.086,0.168,0,0.005,2.356,1.851,24.399,6.142,0.757,0.589,1.851,3.702,2.524,1.01,1.935,0.841,116.191,0.926,0.786,17.24,56.75,47.81,19.2,17.82,0.13,0.18,"DM_CM",1
3167,"AS Roma","Antonio Rüdiger","Left Center Back",0.798,2756,51.238,44.576,11.952,0.196,0,37.881,0.588,0.065,0.051,0.327,0.196,10.907,4.702,0.686,3.853,2.057,2.972,1.502,1.437,0.196,0.359,42.616,0.87,0.6,23.05,43.51,30.93,22.12,19.85,0.052,0.453,"CB",0.916
3168,"AS Monaco","João Filipe Iria Santos Moutinho","Left Defensive Midfield",0.471,2209.3,61.634,48.395,13.973,1.548,0.081,44.403,0.896,0.041,0.037,0.978,0.815,15.887,5.255,1.344,0.937,1.67,3.259,1.711,1.304,1.507,0.937,52.835,0.785,0.833,21.57,62.58,35.51,21.63,19.86,0.201,0.136,"DM_CM",0.783
31687,"Nantes","Adryan Oliveira Tavares","Left Wing",0.594,1500.3,37.552,25.555,7.978,1.56,0.12,34.613,1.86,0.18,0.153,4.559,2.28,17.876,5.399,0.36,0.3,1.2,4.979,2.519,0.9,2.579,2.579,46.431,0.681,0.5,19.83,71.21,24.36,24.4,20.73,0.379,0.112,"AM_W",0.999
